symbol,name,asset_class,venue,currency,sector
AACIW,Armada Acquisition Corp. I Warrant,equity,,USD,n/a
ACABW,Atlantic Coastal Acquisition Co,equity,,USD,n/a
ACACW,ACACW,equity,,USD,n/a
ACAHW,Atlantic Coastal Acquisition Corp. Warrant,equity,,,n/a
ACAXW,ACAXW,equity,,USD,n/a
ACBAW,Ace Global Business Acquisition Limited Warrant,equity,,USD,n/a
ACONW,ACONW,equity,,USD,n/a
ACQRW,Independence Holdings Corp. Warrant,equity,,,n/a
ADALW,Anthemis Digital Acquisitions I Corp Warrant,equity,,USD,n/a
ADERW,26 Capital Acquisition Corp.,equity,,USD,n/a
ADILW,"Adial Pharmaceuticals, Inc",equity,,USD,n/a
ADNWW,"Advent Technologies Holdings, I",equity,,USD,n/a
ADOCW,Edoc Acquisition Corp.,equity,,USD,n/a
ADSEW,ADS-TEC ENERGY PLC Warrant,equity,,USD,n/a
ADTHW,ADTHW,equity,,USD,n/a
AEACW,Authentic Equity Acquisition Co,equity,,USD,n/a
AEAEW,ALTENERGY ACQUISITION CORP C/WT,equity,,USD,n/a
AEHAW,Aesther Healthcare Acquisition Corp Warrants,equity,,USD,n/a
AFARW,Aura FAT Projects Acquisition C,equity,,USD,n/a
AFRIW,Forafric Global PLC Warrants,equity,,USD,n/a
AGGRW,Agile Growth Corp. Warrant.,equity,,,n/a
AGILW,AGILW,equity,,USD,n/a
AHRNW,Ahren Acquisition Corp. Warrant,equity,,USD,n/a
AIBBR,AIB Acquisition Corporation,equity,,USD,n/a
AIMAU,Aimfinity Investment Corp. I,equity,,USD,n/a
AIMAW,Aimfinity Investment Corp. I Wa,equity,,USD,n/a
AIMBU,Aimfinity Investment Corp. I - ,equity,,USD,n/a
AIMDW,AINOS INC C/WTS 29/07/2027 (TO ,equity,,USD,n/a
AKICW,Sports Ventures Acquisition Cor,equity,,USD,n/a
ALORW,ALSP Orchid Acquisition Corporation I Warrant,equity,,USD,n/a
ALPAW,Alpha Healthcare Acquisition Corp. III Warrant,equity,,,n/a
ALSAR,Alpha Star Acquisition Corporat,equity,,USD,n/a
ALSAW,Alpha Star Acquisition Corporation Warrants,equity,,USD,n/a
ALTUW,Altitude Acquisition Corp.,equity,,USD,n/a
ALVOW,Alvotech Warrant,equity,,USD,n/a
AMAOW,American Acquisition Opportunity Inc. Warrant,equity,,USD,n/a
AMCIW,AMCI Acquisition Corp. II Warrant,equity,,,n/a
ANGHW,Anghami Inc. Warrants,equity,,USD,n/a
ANZUW,Anzu Special Acquisition Corp I Warrant,equity,,USD,n/a
AOGOW,Arogo Capital Acquisition Corp.,equity,,USD,n/a
