symbol,name,asset_class,venue,currency,sector
AAPL,,equity,NASDAQ/NYSE,USD,
ABNB,,equity,NASDAQ/NYSE,USD,
ADBE,,equity,NASDAQ/NYSE,USD,
AMD,,equity,NASDAQ/NYSE,USD,
AMAT,,equity,NASDAQ/NYSE,USD,
AMGN,,equity,NASDAQ/NYSE,USD,
AMZN,,equity,NASDAQ/NYSE,USD,
ADP,,equity,NASDAQ/NYSE,USD,
AVGO,,equity,NASDAQ/NYSE,USD,
BKNG,,equity,NASDAQ/NYSE,USD,
CDNS,,equity,NASDAQ/NYSE,USD,
CRWD,,equity,NASDAQ/NYSE,USD,
CSCO,,equity,NASDAQ/NYSE,USD,
COST,,equity,NASDAQ/NYSE,USD,
CSX,,equity,NASDAQ/NYSE,USD,
CTAS,,equity,NASDAQ/NYSE,USD,
FTNT,,equity,NASDAQ/NYSE,USD,
GILD,,equity,NASDAQ/NYSE,USD,
GOOG,,equity,NASDAQ/NYSE,USD,
GOOGL,,equity,NASDAQ/NYSE,USD,
HON,,equity,NASDAQ/NYSE,USD,
INTC,,equity,NASDAQ/NYSE,USD,
INTU,,equity,NASDAQ/NYSE,USD,
ISRG,,equity,NASDAQ/NYSE,USD,
KLAC,,equity,NASDAQ/NYSE,USD,
LIN,,equity,NASDAQ/NYSE,USD,
LRCX,,equity,NASDAQ/NYSE,USD,
MAR,,equity,NASDAQ/NYSE,USD,
MDLZ,,equity,NASDAQ/NYSE,USD,
MELI,,equity,NASDAQ/NYSE,USD,
META,,equity,NASDAQ/NYSE,USD,
MSFT,,equity,NASDAQ/NYSE,USD,
MU,,equity,NASDAQ/NYSE,USD,
NFLX,,equity,NASDAQ/NYSE,USD,
NVDA,,equity,NASDAQ/NYSE,USD,
NXPI,,equity,NASDAQ/NYSE,USD,
ORLY,,equity,NASDAQ/NYSE,USD,
PANW,,equity,NASDAQ/NYSE,USD,
PEP,,equity,NASDAQ/NYSE,USD,
PYPL,,equity,NASDAQ/NYSE,USD,
QCOM,,equity,NASDAQ/NYSE,USD,
REGN,,equity,NASDAQ/NYSE,USD,
SBUX,,equity,NASDAQ/NYSE,USD,
SNPS,,equity,NASDAQ/NYSE,USD,
TMUS,,equity,NASDAQ/NYSE,USD,
TSLA,,equity,NASDAQ/NYSE,USD,
TXN,,equity,NASDAQ/NYSE,USD,
VRTX,,equity,NASDAQ/NYSE,USD,
WDAY,,equity,NASDAQ/NYSE,USD,
A,,equity,NASDAQ/NYSE,USD,
AA,,equity,NASDAQ/NYSE,USD,
ABBV,,equity,NASDAQ/NYSE,USD,
ABC,,equity,NASDAQ/NYSE,USD,
ABT,,equity,NASDAQ/NYSE,USD,
ACN,,equity,NASDAQ/NYSE,USD,
ADI,,equity,NASDAQ/NYSE,USD,
ADM,,equity,NASDAQ/NYSE,USD,
ADSK,,equity,NASDAQ/NYSE,USD,
AEE,,equity,NASDAQ/NYSE,USD,
AEP,,equity,NASDAQ/NYSE,USD,
AES,,equity,NASDAQ/NYSE,USD,
AFL,,equity,NASDAQ/NYSE,USD,
AIG,,equity,NASDAQ/NYSE,USD,
AIZ,,equity,NASDAQ/NYSE,USD,
AJG,,equity,NASDAQ/NYSE,USD,
AKAM,,equity,NASDAQ/NYSE,USD,
ALB,,equity,NASDAQ/NYSE,USD,
ALGN,,equity,NASDAQ/NYSE,USD,
ALLE,,equity,NASDAQ/NYSE,USD,
ALL,,equity,NASDAQ/NYSE,USD,
AMCR,,equity,NASDAQ/NYSE,USD,
AME,,equity,NASDAQ/NYSE,USD,
AMP,,equity,NASDAQ/NYSE,USD,
AMPH,,equity,NASDAQ/NYSE,USD,
AMT,,equity,NASDAQ/NYSE,USD,
AON,,equity,NASDAQ/NYSE,USD,
APA,,equity,NASDAQ/NYSE,USD,
APC,,equity,NASDAQ/NYSE,USD,
APD,,equity,NASDAQ/NYSE,USD,
APH,,equity,NASDAQ/NYSE,USD,
APO,,equity,NASDAQ/NYSE,USD,
APP,,equity,NASDAQ/NYSE,USD,
APTV,,equity,NASDAQ/NYSE,USD,
ARE,,equity,NASDAQ/NYSE,USD,
ARES,,equity,NASDAQ/NYSE,USD,
ARG,,equity,NASDAQ/NYSE,USD,
ARNC,,equity,NASDAQ/NYSE,USD,
ATVI,,equity,NASDAQ/NYSE,USD,
AVB,,equity,NASDAQ/NYSE,USD,
AVY,,equity,NASDAQ/NYSE,USD,
AWK,,equity,NASDAQ/NYSE,USD,
AXON,,equity,NASDAQ/NYSE,USD,
AXP,,equity,NASDAQ/NYSE,USD,
AZO,,equity,NASDAQ/NYSE,USD,
BA,,equity,NASDAQ/NYSE,USD,
BAC,,equity,NASDAQ/NYSE,USD,
BAX,,equity,NASDAQ/NYSE,USD,
BBD,,equity,NASDAQ/NYSE,USD,
BBT,,equity,NASDAQ/NYSE,USD,
BBY,,equity,NASDAQ/NYSE,USD,
BDX,,equity,NASDAQ/NYSE,USD,
BEN,,equity,NASDAQ/NYSE,USD,
BF-B,,equity,NASDAQ/NYSE,USD,
BG,,equity,NASDAQ/NYSE,USD,
BIIB,,equity,NASDAQ/NYSE,USD,
BKD,,equity,NASDAQ/NYSE,USD,
BKR,,equity,NASDAQ/NYSE,USD,
BLK,,equity,NASDAQ/NYSE,USD,
BLL,,equity,NASDAQ/NYSE,USD,
BMY,,equity,NASDAQ/NYSE,USD,
BRK-B,,equity,NASDAQ/NYSE,USD,
BSX,,equity,NASDAQ/NYSE,USD,
BWA,,equity,NASDAQ/NYSE,USD,
BXP,,equity,NASDAQ/NYSE,USD,
C,,equity,NASDAQ/NYSE,USD,
CA,,equity,NASDAQ/NYSE,USD,
CAG,,equity,NASDAQ/NYSE,USD,
CAH,,equity,NASDAQ/NYSE,USD,
CAT,,equity,NASDAQ/NYSE,USD,
CB,,equity,NASDAQ/NYSE,USD,
CBG,,equity,NASDAQ/NYSE,USD,
CBRE,,equity,NASDAQ/NYSE,USD,
CBS,,equity,NASDAQ/NYSE,USD,
CCE,,equity,NASDAQ/NYSE,USD,
CCI,,equity,NASDAQ/NYSE,USD,
CCL,,equity,NASDAQ/NYSE,USD,
CELG,,equity,NASDAQ/NYSE,USD,
CERE,,equity,NASDAQ/NYSE,USD,
CF,,equity,NASDAQ/NYSE,USD,
CFG,,equity,NASDAQ/NYSE,USD,
CHD,,equity,NASDAQ/NYSE,USD,
CHK,,equity,NASDAQ/NYSE,USD,
CHRW,,equity,NASDAQ/NYSE,USD,
CI,,equity,NASDAQ/NYSE,USD,
CINF,,equity,NASDAQ/NYSE,USD,
CL,,equity,NASDAQ/NYSE,USD,
CLX,,equity,NASDAQ/NYSE,USD,
CMA,,equity,NASDAQ/NYSE,USD,
CMCSA,,equity,NASDAQ/NYSE,USD,
CME,,equity,NASDAQ/NYSE,USD,
CMG,,equity,NASDAQ/NYSE,USD,
CMI,,equity,NASDAQ/NYSE,USD,
CMS,,equity,NASDAQ/NYSE,USD,
CNC,,equity,NASDAQ/NYSE,USD,
CNP,,equity,NASDAQ/NYSE,USD,
COF,,equity,NASDAQ/NYSE,USD,
COG,,equity,NASDAQ/NYSE,USD,
COH,,equity,NASDAQ/NYSE,USD,
COL,,equity,NASDAQ/NYSE,USD,
COP,,equity,NASDAQ/NYSE,USD,
COV,,equity,NASDAQ/NYSE,USD,
CPB,,equity,NASDAQ/NYSE,USD,
CRM,,equity,NASDAQ/NYSE,USD,
CSC,,equity,NASDAQ/NYSE,USD,
CSE,,equity,NASDAQ/NYSE,USD,
CSRA,,equity,NASDAQ/NYSE,USD,
CTL,,equity,NASDAQ/NYSE,USD,
CTSH,,equity,NASDAQ/NYSE,USD,
CTVA,,equity,NASDAQ/NYSE,USD,
CTXS,,equity,NASDAQ/NYSE,USD,
CVS,,equity,NASDAQ/NYSE,USD,
CVX,,equity,NASDAQ/NYSE,USD,
CXO,,equity,NASDAQ/NYSE,USD,
D,,equity,NASDAQ/NYSE,USD,
DAL,,equity,NASDAQ/NYSE,USD,
DD,,equity,NASDAQ/NYSE,USD,
DE,,equity,NASDAQ/NYSE,USD,
DFS,,equity,NASDAQ/NYSE,USD,
DG,,equity,NASDAQ/NYSE,USD,
DGX,,equity,NASDAQ/NYSE,USD,
DHI,,equity,NASDAQ/NYSE,USD,
DHR,,equity,NASDAQ/NYSE,USD,
DIS,,equity,NASDAQ/NYSE,USD,
DISCA,,equity,NASDAQ/NYSE,USD,
DISCK,,equity,NASDAQ/NYSE,USD,
DISH,,equity,NASDAQ/NYSE,USD,
DLR,,equity,NASDAQ/NYSE,USD,
DLTR,,equity,NASDAQ/NYSE,USD,
DNB,,equity,NASDAQ/NYSE,USD,
DOV,,equity,NASDAQ/NYSE,USD,
DOW,,equity,NASDAQ/NYSE,USD,
DPS,,equity,NASDAQ/NYSE,USD,
DRI,,equity,NASDAQ/NYSE,USD,
DTE,,equity,NASDAQ/NYSE,USD,
DUK,,equity,NASDAQ/NYSE,USD,
